1,64.7,4,,ARI-10,Arizona Cardinals
2,51.3,3.2,,NYJ-9,New York Jets
3,47.8,3,,SEA-11,Seattle Seahawks
4,46,2.9,,SF -9,San Francisco Forty-Niners
5,45.5,2.8,,CHI-6,Chicago Bears
6,42.4,2.7,7,MIN-11,Minnesota Vikings
7,42,2.6,6,DEN-7,Denver Broncos
8,40.3,2.5,5,CIN-8,Cincinnati Bengals
9,39.3,2.5,5,MIA-7,Miami Dolphins
10,39.2,2.5,5,TEN-11,Tennessee Titans
11,36.6,2.3,3,NO -6,New Orleans Saints
12,36.2,2.3,3,HOU-8,Houston Texans
13,35,2.2,2,CLE-10,Cleveland Browns
14,34.5,2.2,2,STL-9,St. Louis Rams
15,31.5,2,0,BAL-8,Baltimore Ravens
16,31.1,1.9,0,PIT-4,Pittsburgh Steelers
17,30.9,1.9,9,BUF-8,Buffalo Bills
18,30.9,1.9,9,GB -10,Green Bay Packers
19,30.5,1.9,9,RAI-5,Oakland Raiders
20,29.2,1.8,9,SD -7,San Diego Chargers
21,28.9,1.8,8,KC -7,Kansas City Chiefs
22,26.1,1.6,8,WAS-10,Washington Redskins
23,24.9,1.6,6,NE -9,New England Patriots
24,24.9,1.6,6,DET-5,Detroit Lions
25,24.4,1.5,5,NYG-11,New York Giants
26,22.4,1.4,4,DAL-5,Dallas Cowboys
27,20.6,1.3,3,TB -5,Tamps Bay Buccaneers
28,18.8,1.2,2,ATL-7,Atlanta Falcons
29,18.5,1.2,2,CAR-6,Carolina Panthers
30,17.6,1.1,1,PHI-7,Philadelphia Eagles
31,17,1.1,12,JAC-6,Jacksonville Jaguars
32,2.6,0.2,2,IND-4,Indianapolis Colts
