qbs,8,114.6,7.2,27,ATL-7,"Ryan, Matt"
ptr,8,39.2,2.5,25,IND-4,"McAfee, Pat"
tes,18,36.2,2.3,29,PIT-4,"Miller, Heath"
lbs,5,64.1,4,31,BUF-8,"Barnett, Nick"
lbs,12,57.2,3.8,25,ARI-10,"Washington, Daryl"
lbs,7,64,4,26,NO -6,"Lofton, Curtis"
qbs,2,185.9,12.4,28,GB -10,"Rodgers, Aaron"
qbs,3,171,10.7,35,NE -9,"Brady, Tom"
qbs,4,154.3,9.6,23,CAR-6,"Newton, Cam"
tes,9,49.7,3.1,25,GB -10,"Finley, Jermichael"
qbs,4,154.3,9.6,23,CAR-6,"Newton, Cam"
qbs,3,171,10.7,35,NE -9,"Brady, Tom"
krs,6,41.7,2.6,30,CHI-6,"Gould, Robbie"
qbs,14,82.7,5.2,36,TEN-11,"Hasselbeck, Matt"
